lfdn;73;73_new;;;;;;;;;;;;;;;
310;1;up to 1 year;;;;;;;;;;;;;;;
313;6;1 to 5 years;;;;;;;;;;;;;;;
315;8;1 to 5 years;;;;;;;;;;;;;;;
317;22;more than 20 years;;;;;;;;;;;;;;;
330;10;1 to 5 years;;;;;;;;;;;;;;;
332;25;more than 20 years;;;;;;;;;;;;;;;
334;5;1 to 5 years;;;;;;;;;;;;;;;
341;1;up to 1 year;;;;;;;;;;;;;;;
349;5;1 to 5 years;;;;;;;;;;;;;;;
355;12;11 to 20 years;;;;;;;;;;;;;;;
359;20;11 to 20 years;;;;;;;;;;;;;;;
364;1;up to 1 year;;;;;;;;;;;;;;;
365;1 to 5;1 to 5 years;;;;;;;;;;;;;;;
370;9 years;6 to 10 years;;;;;;;;;;;;;;;
372;18;11 to 20 years;;;;;;;;;;;;;;;
377;10;1 to 5 years;;;;;;;;;;;;;;;
378;3;1 to 5 years;;;;;;;;;;;;;;;
384;25;more than 20 years;;;;;;;;;;;;;;;
387;20;11 to 20 years;;;;;;;;;;;;;;;
393;5;1 to 5 years;;;;;;;;;;;;;;;
409;16;11 to 20 years;;;;;;;;;;;;;;;
412;15;11 to 20 years;;;;;;;;;;;;;;;
416;6;1 to 5 years;;;;;;;;;;;;;;;
420;10;1 to 5 years;;;;;;;;;;;;;;;
425;8;1 to 5 years;;;;;;;;;;;;;;;
427;9;1 to 5 years;;;;;;;;;;;;;;;
429;7;1 to 5 years;;;;;;;;;;;;;;;
437;17;11 to 20 years;;;;;;;;;;;;;;;
442;15;11 to 20 years;;;;;;;;;;;;;;;
444;5;1 to 5 years;;;;;;;;;;;;;;;
446;20;11 to 20 years;;;;;;;;;;;;;;;
453;14;11 to 20 years;;;;;;;;;;;;;;;
454;6;1 to 5 years;;;;;;;;;;;;;;;
461;9;1 to 5 years;;;;;;;;;;;;;;;
466;1;up to 1 year;;;;;;;;;;;;;;;
467;0;up to 1 year;;;;;;;;;;;;;;;
468;4;1 to 5 years;;;;;;;;;;;;;;;
475;5;1 to 5 years;;;;;;;;;;;;;;;
479;1;up to 1 year;;;;;;;;;;;;;;;
482;10;1 to 5 years;;;;;;;;;;;;;;;
485;10;1 to 5 years;;;;;;;;;;;;;;;
489;10;1 to 5 years;;;;;;;;;;;;;;;
496;15;11 to 20 years;;;;;;;;;;;;;;;
502;5;1 to 5 years;;;;;;;;;;;;;;;
506;1;up to 1 year;;;;;;;;;;;;;;;
507;5;1 to 5 years;;;;;;;;;;;;;;;
511;15;11 to 20 years;;;;;;;;;;;;;;;
512;1 to 5;1 to 5 years;;;;;;;;;;;;;;;
518;1;up to 1 year;;;;;;;;;;;;;;;
523;2 meses;1 to 5 years;;;;;;;;;;;;;;;
524;20;11 to 20 years;;;;;;;;;;;;;;;
525;15;11 to 20 years;;;;;;;;;;;;;;;
531;1;up to 1 year;;;;;;;;;;;;;;;
534;5;1 to 5 years;;;;;;;;;;;;;;;
539;1;up to 1 year;;;;;;;;;;;;;;;
541;20;11 to 20 years;;;;;;;;;;;;;;;
545;15;11 to 20 years;;;;;;;;;;;;;;;
548;6;1 to 5 years;;;;;;;;;;;;;;;
549;15;11 to 20 years;;;;;;;;;;;;;;;
559;1;up to 1 year;;;;;;;;;;;;;;;
560;15;11 to 20 years;;;;;;;;;;;;;;;
564;6;1 to 5 years;;;;;;;;;;;;;;;
569;15;11 to 20 years;;;;;;;;;;;;;;;
570;25;more than 20 years;;;;;;;;;;;;;;;
572;17;11 to 20 years;;;;;;;;;;;;;;;
573;17;11 to 20 years;;;;;;;;;;;;;;;
575;5;1 to 5 years;;;;;;;;;;;;;;;
586;20;11 to 20 years;;;;;;;;;;;;;;;
590;10;1 to 5 years;;;;;;;;;;;;;;;
593;1;up to 1 year;;;;;;;;;;;;;;;
626;10;1 to 5 years;;;;;;;;;;;;;;;
634;12;11 to 20 years;;;;;;;;;;;;;;;
637;27;more than 20 years;;;;;;;;;;;;;;;
640;4;1 to 5 years;;;;;;;;;;;;;;;
649;3;1 to 5 years;;;;;;;;;;;;;;;
661;4;1 to 5 years;;;;;;;;;;;;;;;
663;10;1 to 5 years;;;;;;;;;;;;;;;
676;10;1 to 5 years;;;;;;;;;;;;;;;
683;4;1 to 5 years;;;;;;;;;;;;;;;
684;3;1 to 5 years;;;;;;;;;;;;;;;
694;7;1 to 5 years;;;;;;;;;;;;;;;
695;5;1 to 5 years;;;;;;;;;;;;;;;
710;15;11 to 20 years;;;;;;;;;;;;;;;
711;10;1 to 5 years;;;;;;;;;;;;;;;
719;0;up to 1 year;;;;;;;;;;;;;;;
722;7;1 to 5 years;;;;;;;;;;;;;;;
723;12;11 to 20 years;;;;;;;;;;;;;;;
728;8;1 to 5 years;;;;;;;;;;;;;;;
729;Como Analista de Negocios específicamente 1.5 años. Participando en relevamiento de requerimientos para diferentes proyectos unos 15 años.;1 to 5 years;;;;;;;;;;;;;;;
730;5;1 to 5 years;;;;;;;;;;;;;;;
735;3;1 to 5 years;;;;;;;;;;;;;;;
740;3;1 to 5 years;;;;;;;;;;;;;;;
742;10;1 to 5 years;;;;;;;;;;;;;;;
750;10;1 to 5 years;;;;;;;;;;;;;;;
753;1,5 años;1 to 5 years;;;;;;;;;;;;;;;
754;8;1 to 5 years;;;;;;;;;;;;;;;
758;2;1 to 5 years;;;;;;;;;;;;;;;
765;1;up to 1 year;;;;;;;;;;;;;;;
768;3;1 to 5 years;;;;;;;;;;;;;;;
774;5;1 to 5 years;;;;;;;;;;;;;;;
785;2;1 to 5 years;;;;;;;;;;;;;;;
786;1 week;up to 1 year;;;;;;;;;;;;;;;
795;6;1 to 5 years;;;;;;;;;;;;;;;
809;9 anos;6 to 10 years;;;;;;;;;;;;;;;
814;5;1 to 5 years;;;;;;;;;;;;;;;
818;15;11 to 20 years;;;;;;;;;;;;;;;
819;5;1 to 5 years;;;;;;;;;;;;;;;
825;5;1 to 5 years;;;;;;;;;;;;;;;
830;16;11 to 20 years;;;;;;;;;;;;;;;
831;20;11 to 20 years;;;;;;;;;;;;;;;
837;16;11 to 20 years;;;;;;;;;;;;;;;
839;20;11 to 20 years;;;;;;;;;;;;;;;
845;8;1 to 5 years;;;;;;;;;;;;;;;
847;5;1 to 5 years;;;;;;;;;;;;;;;
849;6;1 to 5 years;;;;;;;;;;;;;;;
851;2;1 to 5 years;;;;;;;;;;;;;;;
856;5;1 to 5 years;;;;;;;;;;;;;;;
857;20;11 to 20 years;;;;;;;;;;;;;;;
862;7;1 to 5 years;;;;;;;;;;;;;;;
864;18;11 to 20 years;;;;;;;;;;;;;;;
865;28;more than 20 years;;;;;;;;;;;;;;;
868;15;11 to 20 years;;;;;;;;;;;;;;;
870;23;more than 20 years;;;;;;;;;;;;;;;
876;5;1 to 5 years;;;;;;;;;;;;;;;
879;11;11 to 20 years;;;;;;;;;;;;;;;
880;6;1 to 5 years;;;;;;;;;;;;;;;
884;20;11 to 20 years;;;;;;;;;;;;;;;
887;8;1 to 5 years;;;;;;;;;;;;;;;
889;9;1 to 5 years;;;;;;;;;;;;;;;
894;2;1 to 5 years;;;;;;;;;;;;;;;
896;5;1 to 5 years;;;;;;;;;;;;;;;
898;20;11 to 20 years;;;;;;;;;;;;;;;
900;mais de 10 anos;6 to 10 years;;;;;;;;;;;;;;;
901;4;1 to 5 years;;;;;;;;;;;;;;;
909;15 anos;11 to 20 years;;;;;;;;;;;;;;;
910;30;more than 20 years;;;;;;;;;;;;;;;
912;ten years;6 to 10 years;;;;;;;;;;;;;;;
916;9 anos;6 to 10 years;;;;;;;;;;;;;;;
917;13;11 to 20 years;;;;;;;;;;;;;;;
918;6;1 to 5 years;;;;;;;;;;;;;;;
921;23;more than 20 years;;;;;;;;;;;;;;;
923;15;11 to 20 years;;;;;;;;;;;;;;;
924;15;11 to 20 years;;;;;;;;;;;;;;;
926;4;1 to 5 years;;;;;;;;;;;;;;;
928;10;1 to 5 years;;;;;;;;;;;;;;;
929;5;1 to 5 years;;;;;;;;;;;;;;;
930;20;11 to 20 years;;;;;;;;;;;;;;;
931;10;1 to 5 years;;;;;;;;;;;;;;;
932;15 anos;11 to 20 years;;;;;;;;;;;;;;;
933;8;1 to 5 years;;;;;;;;;;;;;;;
937;10;1 to 5 years;;;;;;;;;;;;;;;
945;7;1 to 5 years;;;;;;;;;;;;;;;
947;8;1 to 5 years;;;;;;;;;;;;;;;
948;15;11 to 20 years;;;;;;;;;;;;;;;
952;10 Years;6 to 10 years;;;;;;;;;;;;;;;
955;12;11 to 20 years;;;;;;;;;;;;;;;
956;11;11 to 20 years;;;;;;;;;;;;;;;
957;14;11 to 20 years;;;;;;;;;;;;;;;
958;10;1 to 5 years;;;;;;;;;;;;;;;
959;8 Anos;6 to 10 years;;;;;;;;;;;;;;;
960;12;11 to 20 years;;;;;;;;;;;;;;;
962;5Year;1 to 5 years;;;;;;;;;;;;;;;
967;6;1 to 5 years;;;;;;;;;;;;;;;
968;12;11 to 20 years;;;;;;;;;;;;;;;
980;30;more than 20 years;;;;;;;;;;;;;;;
984;1;up to 1 year;;;;;;;;;;;;;;;
985;0;up to 1 year;;;;;;;;;;;;;;;
987;15;11 to 20 years;;;;;;;;;;;;;;;
990;22;more than 20 years;;;;;;;;;;;;;;;
997;20;11 to 20 years;;;;;;;;;;;;;;;
1006;21;more than 20 years;;;;;;;;;;;;;;;
1008;2;1 to 5 years;;;;;;;;;;;;;;;
1009;8;1 to 5 years;;;;;;;;;;;;;;;
1010;1;up to 1 year;;;;;;;;;;;;;;;
1011;15;11 to 20 years;;;;;;;;;;;;;;;
1012;8;1 to 5 years;;;;;;;;;;;;;;;
1013;3;1 to 5 years;;;;;;;;;;;;;;;
1014;10;1 to 5 years;;;;;;;;;;;;;;;
1017;4;1 to 5 years;;;;;;;;;;;;;;;
1021;3;1 to 5 years;;;;;;;;;;;;;;;
1028;10;1 to 5 years;;;;;;;;;;;;;;;
1031;5;1 to 5 years;;;;;;;;;;;;;;;
1033;10;1 to 5 years;;;;;;;;;;;;;;;
1035;20;11 to 20 years;;;;;;;;;;;;;;;
1039;7;1 to 5 years;;;;;;;;;;;;;;;
1051;6;1 to 5 years;;;;;;;;;;;;;;;
1055;10;1 to 5 years;;;;;;;;;;;;;;;
1056;1;up to 1 year;;;;;;;;;;;;;;;
1062;5;1 to 5 years;;;;;;;;;;;;;;;
1064;28;more than 20 years;;;;;;;;;;;;;;;
1065;10;1 to 5 years;;;;;;;;;;;;;;;
1066;30;more than 20 years;;;;;;;;;;;;;;;
1069;6;1 to 5 years;;;;;;;;;;;;;;;
1070;15;11 to 20 years;;;;;;;;;;;;;;;
1076;5;1 to 5 years;;;;;;;;;;;;;;;
1079;15;11 to 20 years;;;;;;;;;;;;;;;
1080;7;1 to 5 years;;;;;;;;;;;;;;;
1082;3;1 to 5 years;;;;;;;;;;;;;;;
1091;10;1 to 5 years;;;;;;;;;;;;;;;
1097;6;1 to 5 years;;;;;;;;;;;;;;;
1098;7;1 to 5 years;;;;;;;;;;;;;;;
1100;7;1 to 5 years;;;;;;;;;;;;;;;
1101;15;11 to 20 years;;;;;;;;;;;;;;;
1105;12;11 to 20 years;;;;;;;;;;;;;;;
1111;12;11 to 20 years;;;;;;;;;;;;;;;
1114;5;1 to 5 years;;;;;;;;;;;;;;;
1115;20;11 to 20 years;;;;;;;;;;;;;;;
1118;15;11 to 20 years;;;;;;;;;;;;;;;
1122;14;11 to 20 years;;;;;;;;;;;;;;;
1124;25;more than 20 years;;;;;;;;;;;;;;;
1126;16;11 to 20 years;;;;;;;;;;;;;;;
1129;10;1 to 5 years;;;;;;;;;;;;;;;
1139;20;11 to 20 years;;;;;;;;;;;;;;;
1140;20;11 to 20 years;;;;;;;;;;;;;;;
1141;20;11 to 20 years;;;;;;;;;;;;;;;
1159;3;1 to 5 years;;;;;;;;;;;;;;;
1161;5;1 to 5 years;;;;;;;;;;;;;;;
1163;1 year;up to 1 year;;;;;;;;;;;;;;;
1164;1;up to 1 year;;;;;;;;;;;;;;;
1165;3;1 to 5 years;;;;;;;;;;;;;;;
1166;3;1 to 5 years;;;;;;;;;;;;;;;
1167;3 años y medio ;1 to 5 years;;;;;;;;;;;;;;;
1168;1;up to 1 year;;;;;;;;;;;;;;;
1171;3;1 to 5 years;;;;;;;;;;;;;;;
1172;10;1 to 5 years;;;;;;;;;;;;;;;
1181;4;1 to 5 years;;;;;;;;;;;;;;;
1184;3;1 to 5 years;;;;;;;;;;;;;;;
1187;2;1 to 5 years;;;;;;;;;;;;;;;
1188;20;11 to 20 years;;;;;;;;;;;;;;;
1189;10;1 to 5 years;;;;;;;;;;;;;;;
1190;7;1 to 5 years;;;;;;;;;;;;;;;
1194;9;1 to 5 years;;;;;;;;;;;;;;;
1200;15;11 to 20 years;;;;;;;;;;;;;;;
1204;25;more than 20 years;;;;;;;;;;;;;;;
1207;15;11 to 20 years;;;;;;;;;;;;;;;
1214;15;11 to 20 years;;;;;;;;;;;;;;;
1220;7;1 to 5 years;;;;;;;;;;;;;;;
1221;10;1 to 5 years;;;;;;;;;;;;;;;
1222;6;1 to 5 years;;;;;;;;;;;;;;;
1223;14;11 to 20 years;;;;;;;;;;;;;;;
1224;15;11 to 20 years;;;;;;;;;;;;;;;
1225;7;1 to 5 years;;;;;;;;;;;;;;;
1226;2;1 to 5 years;;;;;;;;;;;;;;;
1227;10;1 to 5 years;;;;;;;;;;;;;;;
1228;20;11 to 20 years;;;;;;;;;;;;;;;
1229;8;1 to 5 years;;;;;;;;;;;;;;;
1236;7;1 to 5 years;;;;;;;;;;;;;;;
1238;2;1 to 5 years;;;;;;;;;;;;;;;
1239;1;up to 1 year;;;;;;;;;;;;;;;
1255;5;1 to 5 years;;;;;;;;;;;;;;;
1262;10;1 to 5 years;;;;;;;;;;;;;;;
1266;23 ANOS;more than 20 years;;;;;;;;;;;;;;;
1273;2;1 to 5 years;;;;;;;;;;;;;;;
1275;7;1 to 5 years;;;;;;;;;;;;;;;
1279;15;11 to 20 years;;;;;;;;;;;;;;;
1283;12;11 to 20 years;;;;;;;;;;;;;;;
1284;8 anos;6 to 10 years;;;;;;;;;;;;;;;
1288;1 year;up to 1 year;;;;;;;;;;;;;;;
1289;16;11 to 20 years;;;;;;;;;;;;;;;
1290;3;1 to 5 years;;;;;;;;;;;;;;;
1291;2 to 5;1 to 5 years;;;;;;;;;;;;;;;
1296;5;1 to 5 years;;;;;;;;;;;;;;;
1316;10;1 to 5 years;;;;;;;;;;;;;;;
1321;2;1 to 5 years;;;;;;;;;;;;;;;
1327;12;11 to 20 years;;;;;;;;;;;;;;;
1329;5;1 to 5 years;;;;;;;;;;;;;;;
1331;11 anos;11 to 20 years;;;;;;;;;;;;;;;
1339;4;1 to 5 years;;;;;;;;;;;;;;;
1340;5;1 to 5 years;;;;;;;;;;;;;;;
1341;29;more than 20 years;;;;;;;;;;;;;;;
1343;7 años;6 to 10 years;;;;;;;;;;;;;;;
1344;7;1 to 5 years;;;;;;;;;;;;;;;
1347;4;1 to 5 years;;;;;;;;;;;;;;;
1348;7;1 to 5 years;;;;;;;;;;;;;;;
1349;5;1 to 5 years;;;;;;;;;;;;;;;
1350;10;1 to 5 years;;;;;;;;;;;;;;;
1351;4;1 to 5 years;;;;;;;;;;;;;;;
1352;7;1 to 5 years;;;;;;;;;;;;;;;
1353;10;1 to 5 years;;;;;;;;;;;;;;;
1354;2;1 to 5 years;;;;;;;;;;;;;;;
1355;3;1 to 5 years;;;;;;;;;;;;;;;
1356;4;1 to 5 years;;;;;;;;;;;;;;;
1357;3 años;1 to 5 years;;;;;;;;;;;;;;;
1358;2;1 to 5 years;;;;;;;;;;;;;;;
1359;9;1 to 5 years;;;;;;;;;;;;;;;
1360;17;11 to 20 years;;;;;;;;;;;;;;;
1376;1;up to 1 year;;;;;;;;;;;;;;;
1383;3;1 to 5 years;;;;;;;;;;;;;;;
1384;1;up to 1 year;;;;;;;;;;;;;;;
1398;1;up to 1 year;;;;;;;;;;;;;;;
1402;30;more than 20 years;;;;;;;;;;;;;;;
1403;9;1 to 5 years;;;;;;;;;;;;;;;
1406;2;1 to 5 years;;;;;;;;;;;;;;;
1408;2;1 to 5 years;;;;;;;;;;;;;;;
1411;13;11 to 20 years;;;;;;;;;;;;;;;
1413;3 años;1 to 5 years;;;;;;;;;;;;;;;
1415;5;1 to 5 years;;;;;;;;;;;;;;;
1416;15;11 to 20 years;;;;;;;;;;;;;;;
1417;4;1 to 5 years;;;;;;;;;;;;;;;
1419;10;1 to 5 years;;;;;;;;;;;;;;;
1422;3;1 to 5 years;;;;;;;;;;;;;;;
1423;2;1 to 5 years;;;;;;;;;;;;;;;
1424;10;1 to 5 years;;;;;;;;;;;;;;;
1425;10;1 to 5 years;;;;;;;;;;;;;;;
1426;10;1 to 5 years;;;;;;;;;;;;;;;
1428;10;1 to 5 years;;;;;;;;;;;;;;;
1433;3;1 to 5 years;;;;;;;;;;;;;;;
1435;7;1 to 5 years;;;;;;;;;;;;;;;
1441;10;1 to 5 years;;;;;;;;;;;;;;;
1449;10;1 to 5 years;;;;;;;;;;;;;;;
1454;3;1 to 5 years;;;;;;;;;;;;;;;
1455;10;1 to 5 years;;;;;;;;;;;;;;;
1457;5;1 to 5 years;;;;;;;;;;;;;;;
1458;7;1 to 5 years;;;;;;;;;;;;;;;
1459;11;11 to 20 years;;;;;;;;;;;;;;;
1460;3;1 to 5 years;;;;;;;;;;;;;;;
1461;2;1 to 5 years;;;;;;;;;;;;;;;
1462;4;1 to 5 years;;;;;;;;;;;;;;;
1466;10;1 to 5 years;;;;;;;;;;;;;;;
1467;20;11 to 20 years;;;;;;;;;;;;;;;
1473;4;1 to 5 years;;;;;;;;;;;;;;;
1474;9;1 to 5 years;;;;;;;;;;;;;;;
1477;13;11 to 20 years;;;;;;;;;;;;;;;
1482;5;1 to 5 years;;;;;;;;;;;;;;;
1483;0;up to 1 year;;;;;;;;;;;;;;;
1484;4;1 to 5 years;;;;;;;;;;;;;;;
1485;4;1 to 5 years;;;;;;;;;;;;;;;
1486;6;1 to 5 years;;;;;;;;;;;;;;;
1487;11;11 to 20 years;;;;;;;;;;;;;;;
1526;20;11 to 20 years;;;;;;;;;;;;;;;
1542;4;1 to 5 years;;;;;;;;;;;;;;;
1560;20;11 to 20 years;;;;;;;;;;;;;;;
1617;9;1 to 5 years;;;;;;;;;;;;;;;
1618;13;11 to 20 years;;;;;;;;;;;;;;;
1620;2 years;1 to 5 years;;;;;;;;;;;;;;;
1621;13;11 to 20 years;;;;;;;;;;;;;;;
1624;3;1 to 5 years;;;;;;;;;;;;;;;
1633;7;1 to 5 years;;;;;;;;;;;;;;;
1645;3;1 to 5 years;;;;;;;;;;;;;;;
1650;4;1 to 5 years;;;;;;;;;;;;;;;
1651;5;1 to 5 years;;;;;;;;;;;;;;;
1663;20;11 to 20 years;;;;;;;;;;;;;;;
1665;0;up to 1 year;;;;;;;;;;;;;;;
1666;7;1 to 5 years;;;;;;;;;;;;;;;
1667;0;up to 1 year;;;;;;;;;;;;;;;
1668;10;1 to 5 years;;;;;;;;;;;;;;;
1669;10;1 to 5 years;;;;;;;;;;;;;;;
1670;8;1 to 5 years;;;;;;;;;;;;;;;
1675;15;11 to 20 years;;;;;;;;;;;;;;;
1676;8;1 to 5 years;;;;;;;;;;;;;;;
1688;38;more than 20 years;;;;;;;;;;;;;;;
1690;4;1 to 5 years;;;;;;;;;;;;;;;
1695;20;11 to 20 years;;;;;;;;;;;;;;;
1697;5;1 to 5 years;;;;;;;;;;;;;;;
1698;7;1 to 5 years;;;;;;;;;;;;;;;
1699;2;1 to 5 years;;;;;;;;;;;;;;;
1700;10;1 to 5 years;;;;;;;;;;;;;;;
1703;3;1 to 5 years;;;;;;;;;;;;;;;
1705;10;1 to 5 years;;;;;;;;;;;;;;;
1715;10;1 to 5 years;;;;;;;;;;;;;;;
1717;3;1 to 5 years;;;;;;;;;;;;;;;
1718;10;1 to 5 years;;;;;;;;;;;;;;;
1723;2;1 to 5 years;;;;;;;;;;;;;;;
1727;15 años;11 to 20 years;;;;;;;;;;;;;;;
1733;0;up to 1 year;;;;;;;;;;;;;;;
1741;2;1 to 5 years;;;;;;;;;;;;;;;
1742;8;1 to 5 years;;;;;;;;;;;;;;;
1744;3;1 to 5 years;;;;;;;;;;;;;;;
1751;16;11 to 20 years;;;;;;;;;;;;;;;
1753;8;1 to 5 years;;;;;;;;;;;;;;;
1755;15;11 to 20 years;;;;;;;;;;;;;;;
1756;15;11 to 20 years;;;;;;;;;;;;;;;
1759;4;1 to 5 years;;;;;;;;;;;;;;;
1761;12;11 to 20 years;;;;;;;;;;;;;;;
1762;24;more than 20 years;;;;;;;;;;;;;;;
1763;3;1 to 5 years;;;;;;;;;;;;;;;
1767;4 to 5;1 to 5 years;;;;;;;;;;;;;;;
1791;7;1 to 5 years;;;;;;;;;;;;;;;
1804;9;1 to 5 years;;;;;;;;;;;;;;;
1805;29;more than 20 years;;;;;;;;;;;;;;;
1810;15;11 to 20 years;;;;;;;;;;;;;;;
1812;20;11 to 20 years;;;;;;;;;;;;;;;
1820;1;up to 1 year;;;;;;;;;;;;;;;
1828;10;1 to 5 years;;;;;;;;;;;;;;;
1831;2;1 to 5 years;;;;;;;;;;;;;;;
1840;18;11 to 20 years;;;;;;;;;;;;;;;
1842;2;1 to 5 years;;;;;;;;;;;;;;;
1844;5;1 to 5 years;;;;;;;;;;;;;;;
1849;2;1 to 5 years;;;;;;;;;;;;;;;
1859;15;11 to 20 years;;;;;;;;;;;;;;;
1861;12;11 to 20 years;;;;;;;;;;;;;;;
1862;2;1 to 5 years;;;;;;;;;;;;;;;
1894;9;1 to 5 years;;;;;;;;;;;;;;;
1895;19;11 to 20 years;;;;;;;;;;;;;;;
1896;4;1 to 5 years;;;;;;;;;;;;;;;
1899;5;1 to 5 years;;;;;;;;;;;;;;;
1909;3;1 to 5 years;;;;;;;;;;;;;;;
1911;10;1 to 5 years;;;;;;;;;;;;;;;
1917;25;more than 20 years;;;;;;;;;;;;;;;
1918;4;1 to 5 years;;;;;;;;;;;;;;;
1922;20;11 to 20 years;;;;;;;;;;;;;;;
1923;1;up to 1 year;;;;;;;;;;;;;;;
1928;4;1 to 5 years;;;;;;;;;;;;;;;
1929;6;1 to 5 years;;;;;;;;;;;;;;;
1931;1;up to 1 year;;;;;;;;;;;;;;;
1932;8;1 to 5 years;;;;;;;;;;;;;;;
1933;10;1 to 5 years;;;;;;;;;;;;;;;
1941;2;1 to 5 years;;;;;;;;;;;;;;;
1957;20;11 to 20 years;;;;;;;;;;;;;;;
1961;10;1 to 5 years;;;;;;;;;;;;;;;
1962;10;1 to 5 years;;;;;;;;;;;;;;;
1963;12;11 to 20 years;;;;;;;;;;;;;;;
1965;14;11 to 20 years;;;;;;;;;;;;;;;
1969;30;more than 20 years;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
